schema_name,table_name
dm,professional_email_subs_path3_sf
dm,professional_email_subs_path3_sf_current
dm,professional_email_subs_path3_sf_delta
dm,professional_emailsubs_contacts_leads_sf
dm,professional_event_fact
dm,professional_event_fact_backup
dm,professional_event_fact_temp
dm,professional_event_fact_temp1
dm,professional_event_fact_temp2
dm,professional_event_fact_temp3
dm,professional_license_dimension
dm,professional_misconducts_contacts_leads_sf
dm,professional_personinfo_contacts_leads_sf
dm,professional_personinfo_path1_sf_delta
dm,professional_phone_dimension
dm,professional_practice_area_1year
dm,professional_practice_area_revenue
dm,professional_review_contacts_leads_sf
dm,professional_review_dimension
dm,professional_review_path2_sf
dm,professional_review_path2_sf_current
dm,professional_review_path2_sf_delta
dm,professional_review_status_metrics
dm,professional_specialty_bridge
dm,professional_specialty_contacts_leads_sf
dm,professional_specialty_path4_sf
dm,professional_specialty_path4_sf_current
dm,professional_specialty_path4_sf_delta
dm,profnl_addr_brdg
dm,profnl_addr_dim
dm,profnl_delivered_impressions_daily
dm,profnl_delivered_impressions_snapshot
dm,profnl_dim
dm,profnl_invntry_curr_snapshot_fact
dm,profnl_speclty_brdg
dm,profnl_target_impressions
dm,profnl_target_impressions_bkp
dm,promo_dimension
dm,promo_market_history
dm,promo_market_history_since201607
dm,promotion_dimension
dm,provider_dimension
dm,question_answer_metrics
dm,question_dimension
dm,question_metrics
dm,question_status_metrics
dm,raw_ad_events
dm,referral_commission
dm,referral_network_campaign_parm_dimension
dm,render_type_dim
dm,rendr_typ_dim
dm,revenue_per_session
dm,review_metrics
dm,rpi
dm,rpt_finance_advisor
dm,rpt_register_user_metrics_report
dm,rpt_user_type_and_registration_path
dm,sales_order_dimension
dm,sem_campaign_kenshoo
dm,sem_daily_bot
dm,sem_final_bid
dm,sem_google_search_ads_current
dm,sem_google_search_ads_hist
dm,sem_impressions_forecast
dm,sem_impressions_forecast_bkp
dm,sem_impressions_shortfall
dm,sem_indeed_acv_cost
dm,sem_region_zip
dm,sem_report_keyword_level
dm,sem_report_market_level
dm,sem_weight_cost_imprsn
dm,sentiment_backfill
dm,seo_keyword_urls_profile
dm,services_accounting_metrics_event_detail
dm,services_business_metrics_event_detail
dm,services_event_fact
dm,services_financial_event_type_dimension
dm,services_offer_dimension
dm,services_package_category_dimension
dm,services_package_dimension
dm,session_attributes
dm,session_times
dm,sf_ae_am
dm,sf_onetime_contacts_relationship
dm,sf_onetime_contacts_relationship_temp
dm,sf_onetime_contacts_report
dm,sf_onetime_contacts_report_csv
dm,sf_onetime_leads_relationship
dm,sf_onetime_leads_report
dm,sf_onetime_leads_report_csv
dm,sf_onetime_subscription_contract_length
dm,sf_onetime_subscription_extract
dm,sf_onetime_subscription_extract_csv
dm,sl_revenue_block_market
dm,sold_ad_weights_simplified
dm,specialty_campaign
dm,specialty_dimension
dm,speclty_dim
dm,stat_keyword_ranking
dm,state_dimension
dm,subs_cust_prof_status_daily_all_products
dm,subscription_dimension
dm,subscription_dimension_201805
dm,subscription_dimension_201806
dm,subscription_dimension_201807
dm,subscription_price_dimension
dm,subscription_price_dimension_201805
dm,subscription_price_dimension_201806
dm,subscription_price_dimension_201807
dm,temp1_order_line_purchase_fact
dm,temp2_order_line_purchase_fact
dm,temp_adwords_keyword_performance
dm,temp_adwords_keyword_performance_0819
dm,temp_backup_templt_page_typ_lkup
dm,temp_billing_report_purchase
dm,temp_chase_payment_reconciliation
dm,temp_dates_template
dm,temp_dec_mrr_subscription
dm,temp_exact_target_claimed_professional_current
dm,temp_exact_target_pls_claimed_professional
dm,temp_extgt_all_time_user_account_profile_current
dm,temp_extgt_all_time_user_account_profile_current1
dm,temp_extgt_all_time_user_account_profile_current2
dm,temp_extgt_all_time_user_account_profile_current3
dm,temp_extgt_user_account_profile
dm,temp_extgt_user_account_profile_all_time
dm,temp_extgt_user_account_profile_current
dm,temp_extgt_user_question_detail
dm,temp_extgt_user_question_detail_current
dm,temp_hist_extgt_user_question_detail
dm,temp_hist_market_intelligence_detail
dm,temp_impressions_forecast
dm,temp_lead_score_score_driver_output
dm,temp_lead_score_sellthrough
dm,temp_ls_answer_data
dm,temp_ls_contact_data
dm,temp_ls_contact_profnl_data
